단어,뜻,문법,문장예시,반의어,복합어 숙어,유의어,테마 단어,파생어
service,"['1. 서비스', '2. 봉사', '3. 근무']","['동사', '기본 : service', '과거 : serviced', '과거분사 : serviced', '현재분사 : servicing', '3인칭단수 : services', '명사', '기본 : service', '복수 : services']","['medical services', '의료 활동[봉사]', 'a public service', '공공 봉사', '(the) Civil Service', '공무원', 'in[out of] service', '(기계 등이) 사용되고[정지되어]', 'be of service (to ‥)', '(…에) 도움이 되다, 쓸모 있다', 'do a person service [＝do a service to a person]', '남을 위해 진력하다', 'use the services of a person', '남의 도움을 받다; (임시로 남을 고용하여) 일을 시키다', 'She needs the services of a dentist.', '그녀는 치과 의사에게 가봐야 한다', ""His silver fountain pen has done twenty years' service."", '그는 그 은제 만년필을 20년 동안이나 사용해 왔다.', 'do A a service', 'A를 위해 봉사하다', 'voluntary service', '자원 봉사 활동', 'a public service corporation', '공익 사업 회사', 'water service', '급수 (사업)', 'cable TV service', '유선 텔레비전 사업', 'bus service', '버스편', 'flight[air] service', '항공 사업, 항공편', 'a door-to-door delivery service', '택배 서비스', 'The train service was good.', '기차편은 좋았다.', 'postal service', '우편 사업', 'social services', '사회 복지 사업']",-1,"['service to ~로의 운항', 'military service 군복무, 병역, 징병, 군역', 'financial supervisory service 금융감독원, 금감원', 'national intelligence service 국가정보원', 'customer service 고객 서비스']","['work 일하다, 연구, 작업, 작품, 작동하다', 'help 돕다, 도움, 도와주다, 기여하다', 'labor 노동, 근로, 노력, 진통, 출산', 'check 확인하다, 점검하다, 검사, 견제, 체크', 'benefit 이익, 혜택, 도움이 되다']",-1,"['serve 제공하다, 복무하다, 봉사하다, 근무하다, 대접하다', 'serving 음식 시중, 봉사하기, 1인분', 'servant 공무원, 서번트, 하인, 종, 노예', 'server 서버, 종업원, 직원, 근무자, 봉사자', 'disservice 구박, 해, 학대']"
fee,"['1. 요금', '2. 금액', '3. 사례금']","['동사', '기본 : fee', '과거 : feed', '과거분사 : feed', '현재분사 : feeing', '3인칭단수 : fees', '명사', '기본 : fee', '복수 : fees']","['an insurance fee', '보험료', 'a membership fee', '회비', 'a registration fee', '등기료', 'an entrance fee', '입장료, 참가비, 회비', ""a lawyer's [doctor's] fee"", '변호[진찰]료', 'a fee of 1,000 1,000', '달러의 보수', 'charge a fee', '요금을 부과하다.', 'an admission fee', '입장료, 입학금, 입회비', 'charge fees', '요금을 청구하다[지불하다]', 'receive a fee', '보수를 받다', 'earn a fee', '수수료를 받다', 'a high[large] fee', '비싼 요금', 'a low[small] fee', '싼 요금', 'a fixed fee', '고정 요금', 'an additional fee', '추가 요금', 'an annual fee', '연회비', 'a license fee', '특허권 사용료', 'cover a fee', '요금을 감당하다', 'incur a fee', '요금을 초래하다, 요금을 물다', 'reimburse a fee', '요금을 상황하다']",-1,"['fee for ~의 요금', 'admission fee 입장료, 입회금', 'entrance fee 입장료, 입회금, 참가비', 'transfer fee 이적료', 'late fee 시간 외 특별 요금, 지체료']","['price 가격, 가격표, 대가, 물가, 가치', 'pay 지불하다, 임금, 지급하다, 갚다, 보상하다', 'rate 속도, 비율, 평가되다, 요금, 가격', 'cost 비용, 가격, 얼마이다, 들다, 경비', 'share 공유하다, 나누다, 점유하다, 주식, 지분']",-1,-1
attend,"['1. 참석하다', '2. 다니다', '3. 주의하다', '4. 돌보다']","['동사', '기본 : attend', '과거 : attended', '과거분사 : attended', '현재분사 : attending', '3인칭단수 : attends']","['attend classes[school]', '수업에 출석하다[통학하다]', 'attend a concert[a funeral]', '음악회에 가다[장례식에 참석하다]', 'The meeting was well [poorly or badly] attended.', '그 모임에는 참석자가 많았다[적었다].', 'regularly attend', '정기적으로 참가하다', 'well attended', '사람들이 많이 모인', 'poorly attended', '사람이 별로 모이지 않은', 'a fever attended with chills', '오한이 따르는 열병', 'the festivities that attend this season', '이 계절에 따르게 마련인 축제 행사', 'Success often attends hard work.', '근면에는 흔히 성공이 따른다', 'May good luck attend you!', '행운을 빕니다.', 'Dr. Jones has attended our family these twenty years.', '존스 박사가 지난 20년 동안 우리 가족의 건강을 돌봐주었다.', 'The bride was attended by her sister.', '신부의 동생이 신부의 들러리를 섰다.', ""attend one's health"", '건강에 유의하다.', 'The doctors try to attend to the worst injured soldiers first.', '그 의사들은 가장 심하게 다친 부상병들을 우선적으로 돌보려고 한다', 'She attended on her sick grandfather.', '그녀는 병환 중인 할아버지를 돌봐드렸다', 'Is anyone attending to you?[＝Are you being attended to?]', '(점원이 손님에게)도와드릴까요?', 'He has many servants attending on him.', '그는 많은 하인들을 곁에 두고 있다.', ""attend to one's business[a hobby]"", '일[취미]에 몰두하다', 'Are you attending (to what is being said)?', '(말을) 경청하고 있습니까?', 'They attended to strictly national interests.', '그들은 나라의 이익에 관계되는 점에만 관심을 쏟았다.']",-1,"['attend to ~을 돌보다, 시중들다', 'attend a concert 콘서트에 참석하다', 'attend a banquet 연회에 참석하다', 'attend a presentation 발표에 참가하다', 'attend night school 야학에 다니다']","['show 보여주다, 쇼, 나타나다, 보이고 있다, 전시회', 'lead 이끌다, 주도권, 앞서다, 선두, 납', 'serve 제공하다, 복무하다, 봉사하다, 근무하다, 대접하다', 'conduct 실시하다, 수행하다, 시행하다, 행동하다, 지휘하다', 'direct 직접의, 감독하다, 연출하다, 지시하다']",-1,"['attention 관심, 주의력, 주의, 주목, 집중', 'attendant 승무원, 종업원, 참석자, 수행원', 'attendance 참석, 출석, 관객, 돌봄', 'attentive 주의 깊은, 세심한, 친절한', 'attentively 주의 깊게, 정중하게, 마음을 써서']"
business,"['1. 기업', '2. 사업', '3. 경영', '4. 산업', '5. 비즈니스']","['명사', '기본 : business', '복수 : businesses']","['the banking business', '은행업', 'the tailoring business', '양복 재봉업', 'go into business for oneself', '자기 자신의 장사를 시작하다', '""What business is he in?"" ""His business is law.""', '「그는 직업이 뭐야?」 「법률가야.」', 'show[the music] business', '연예[음악] 사업', 'repeat business', '단골 장사', 'a man[a woman] of a business', '실업가', 'a matter of business', '사무적인 일', 'go into the business world', '실업계에 발을 들여놓다', 'Business as usual.', '(게시) 평상시와 같이 영업함', 'Open[Closed] for business.', '(게시) 영업[휴업] 중.', 'business or pleasure', '업무차 혹은 관광차', 'on business', '업무상', 'domestic [foreign] business', '국내[외국] 거래', 'do a bit of business', '한 건 거래하다', 'Business is brisk .', '경기가 좋다, 사업이 번성하고 있다', 'Business is business.', '장사는 장사; 인정이나 관용은 금물이다', ""How's business?"", '경기가 어떤가?', 'We do not do much business with that firm.', '우리는 그 회사와는 별로 거래가 없습니다.', 'do[conduct] business', '장사하다']",-1,"['new business 신계약', 'business environment 경영환경', 'small business 소기업', 'in the business 매춘을 하여', 'big business 재벌, 대기업, 거대한 조직']","['work 일하다, 연구, 작업, 작품, 작동하다', 'company 회사, 대, 따르다, 출자자, 집단', 'thing 것, 일, 상황, 물건, 짓', 'job 직무, 일, 직업, 일자리, 수술', 'issue 문제, 쟁점, 이슈, 사안, 발행하다']","['business 기업, 사업, 산업, 일, 경영', 'conglomerate 복합 기업, 둥글게 뭉쳐진, …을 둥글게 뭉치다', 'corporation 기업, 회사, 법인', 'enterprise 기업, 사업', 'firm 기업, 회사, 업체, 확고한, 강경한']","['businessman 사업가, 기업인, 경제인, 회사원', 'businesswoman 여성 실업가, 여성 사무가, 여자 사업가', 'businesslike 사무적인, 신속한, 실제적인', 'unbusinesslike 사무적이 아닌, 사업의 목적에 관심이 없는, 비실제적인']"
announce,"['1. 발표하다', '2. 밝히다', '3. 알리다', '4. 공표하다']","['동사', '기본 : announce', '과거 : announced', '과거분사 : announced', '현재분사 : announcing', '3인칭단수 : announces']","['announce a wedding in the newspapers', '신문에 결혼을 발표하다', 'announce his death to some friends only', '몇 명의 친구에게만 그의 죽음을 알리다', 'He announced that he would run for president.', '그는 회장 출마를 표명했다', 'The book was announced as in preparation.', '그 책은 근간이라는 예고가 있었다', 'The principal announced[＝made an announcement] that the school would be closed because of flu.', '유행성 감기 때문에 학교를 휴교한다고 교장은 발표했다.', 'recently announced', '최근 발표했다', 'announce dinner', '만찬이 준비되었음을 알리다.', 'The heavy tread announced Pattie.', '무거운 발걸음으로 패티임을 알 수 있었다.', 'announce for the presidency', '대통령 선거에 입후보할 뜻을 표명하다.']",-1,"['announce in a press release 보도 자료에서 발표하다', 'announce vote count results 개표 결과를 공표하다', 'this is to announce ~에 대한 안내 방송입니다', 'announce to the public 공표하다', 'publicly announce 공표하다']","['say 말하다, 전하다, 발언하다, 이야기하다, 주장하다', 'issue 문제, 쟁점, 이슈, 사안, 발행하다', 'state 국가, 상태, 주, 정부, …을 분명히 말하다', 'call 부르다, 전화하다, 말하다, 요구하다, 이름', 'tell 말하다, 이야기하다']",-1,"['announcement 발표, 말하다, 성명, 밝히다, 소식', 'announcer 아나운서, 해설자', 'unannounced 예고 없는, 공표되지 않은', 'announceable 발표할 수 있는']"
market,"['1. 시장', '2. 마켓', '3. 상가']","['동사', '기본 : market', '과거 : marketed', '과거분사 : marketed', '현재분사 : marketing', '3인칭단수 : markets', '명사', '기본 : market', '복수 : markets']","['a cattle market', '가축 시장', 'a black[flea] market', '암시장[벼룩시장]', 'go to market', '장보러 가다(※「장보러 가다」라고 할 때는 관사가 없는 것이 보통).', 'market in A', 'A가 거래되는 시장', 'on the market', '시장에 나온', 'put A on the market', 'A를 시장에 내놓다', 'come on the market', '시장에 나오다', 'a meat market', '정육점.', 'the wheat[the oil] market', '밀[석유] 시장', 'the stock market', '주식 시장', 'the markets', '세계의 주식 시장', 'market mechanism', '(재화의 수급 관계로 가격이 결정되는) 시장 메커니즘', 'market equilibrium', '(재화 수급의) 시장 균형.', 'the financial[currency, capital] market', '금융[통화, 자본] 시장', 'the foreign exchange market', '외환 시장', 'the free market', '자유 시장', 'the housing market', '주택 시장', 'dominate the market', '시장을 지배하다', 'manipulate the market', '시장을 조작하다', 'enter the market', '시장에 진입하다']",-1,"['market share 시장 점유율, 시장 확보', 'stock market 주식 시장, 증시, 증권 시장', 'in the market 팔려고 내놓은', 'the stock market 주식 시장', 'real estate market 부동산 시장']","['store 가게, 저장, 상점, 매장, 점포', 'shop 쇼핑하다, 가게, 상점, 매장, 샵', 'outlet 배출구, 출구, 콘센트']",-1,"['marketing 마케팅, 홍보, 영업', 'marketer 시장에서 매매하는 사람', 'marketability 시장성', 'marketable 잘 팔리는, 시장성이 높은, 매매상의', 'marketeer 시장 상인']"
complete,"['1. 완성된', '2. 완전한', '3. 마치다', '4. 완료하다', '5. 끝내다']","['동사', '기본 : complete', '과거 : completed', '과거분사 : completed', '현재분사 : completing', '3인칭단수 : completes', '형용사', '비교급 : completer, more complete', '최상급 : completest, most complete']","['a complete set of dishes', '접시 한 벌', 'the complete works of Shakespeare', '셰익스피어 전집', 'a complete word processing system, with a computer, monitor, and printer', '컴퓨터와 모니터 그리고 프린터를 갖춘 완전한 워드프로세서 시스템.', 'a complete week', '꼬박 1주일간', 'Our plan is complete.', '계획은 완성되었다', 'When will work on the new school be complete?', '학교 신축 공사는 언제 끝날까요?', 'a complete surprise', '완전히 의표를 찌르기; 완전한 기습', 'have complete confidence in him', '그를 전적으로 신임하다', 'make a complete fool of oneself', '전적인 실수를 하다.', 'a complete golfer', '(매너와 기술이 모두) 완벽한 골퍼.', 'a complete flower', '완전화.', 'complete a questionnaire', '질문지에 기입하다.', ""complete one's work"", '일을 마무리하다[완료하다]', 'He has completed an 20-month jail sentence.', '그는 20개월의 형기를 마쳤다.']","['incomplete 불완전한, 불충분한, 미완성의', 'partial 부분적인, 국소, 일부의, 편파적인, 불완전한', 'defective 결함있는, 불량품, 불완전한']","['complete the course 강좌를 모두 이수하다', 'a complete sentence 완전한 문장', 'complete on time ~을 제때에 마치다', 'come to a complete standstill 완전히 멈추다', 'in complete silence 완전한 침묵 속에서']","['do 해나가다, 하다, 일, 되어가다, 들어주다', 'global 세계적인, 글로벌, 지구의, 전체적인', 'general 일반의, 장군, 전반적인, 장관의, 보통의', 'total 총…, 전체, 완전한, 합계', 'full 가득한, 완전한, 전체, 본격적인, 많은']",-1,"['completely 완전히, 완벽하게, 모두, 전적으로, 철저히', 'completion 완성, 완공, 마치다, 수료, 체결', 'incomplete 불완전한, 불충분한, 미완성의', 'incompleteness 불완전함, 미완성', 'incompletely 불완전하게, 불충분하게']"
available,"['1. 이용할 수 있는', '2. 이용 가능한', '3. 유효한', '4. 유용한', '5. 시간이 있는']","['형용사', '기본 : available', '비교급 : more available', '최상급 : most available']","['be readily[freely] available', '쉽게[자유로이] 입수하다', 'Plenty of time is available.', '시간은 충분히 있다', 'This card is available for a year.', '이 카드는 1년간 유효하다', 'It is not available for my purpose.', '그것은 나의 목적에 쓸모가 없다', 'The golf links is available to members only.', '이 골프장은 회원만이 이용할 수 있다', 'This is one of the best libraries available.', '이 도서관은 이용할 수 있는 최고의 도서관 중의 하나이다.', 'become available', '이용할 수 있게 되다', 'make available', '이용 가능하게 하다', 'widely[generally] available', '널리 이용 가능한', 'commercially available', '시판중인', 'currently available', '현재 구할 수 있는', 'available for[to] A', 'A가 이용할 수 있는', 'available from A', 'A에서 구할 수 있는', 'available to do', '…할 수 있는 상태인', 'an available candidate', '유력한 후보자.', 'Are you available for a conference now?', '지금 회의에 참석할 수 있습니까?']",-1,"['be available for ~하는 데 이용할 수 있다', 'readily available 쉽게 얻을 수 있는, 쉽게 입수할 수 있는', 'presently available 현재 사용 가능한', 'no seat will be available 이용 가능한 좌석이 없을 것이다', 'make a report available 보고서를 배포하다']","['free 자유의, 무료의, …이 없는, 해방시키다, 벗어난', 'possible 가능한, 할 수 있는, 최선', 'likely 가능성 있는, 할 것 같은, 아마, …할 듯한', 'ready 준비된, 미리, 각오가 된, 사전에', 'useful 유용한, 쓸모 있는, 유익한, 도움이 되는, 실용적인']",-1,"['availability 유용성, 유효성, 이용도', 'unavailable 이용할 수 없는, 입수할 수 없는, 남을 만날 수 없는']"
contact,"['1. 접촉', '2. 연락', '3. 콘택트 렌즈', '4. 교제', '5. 시선을 마주치다']","['동사', '기본 : contact', '과거 : contacted', '과거분사 : contacted', '현재분사 : contacting', '3인칭단수 : contacts', '명사', '기본 : contact', '복수 : contacts']","['physical contact', '신체적 접촉', 'a point of contact', '[수학] 접점', 'the path of contact', '접점의 자취[궤적].', 'have[be in] contact', '연락을 취하고 있다', 'make[get in, establish] contact 연락을 취하다', '연락을 취하다', 'keep[maintain, keep in, stay in] contact', '연락을 유지하다', 'lose contact', '연락이 끊기다', 'close contact', '밀접한 연락', 'regular contact', '정기적인 연락', 'direct contact', '직접적 접촉', 'personal contact', '개인적 접촉', 'come into contact', '아는 사이가 되다', 'He had many contacts.', '그는 연줄이 많았다.']",-1,"['contact with ~와의 접촉', 'eye contact 시선을 맞추기, 시선이 맞음, 시선을 마주침', 'in contact with ~과 접촉하는', 'make contact with ~와 연락하다', 'come into contact with ~와 접촉하다, 만나다']","['friend 친구, 프랜드, 벗, 동창', 'relationship 연애관계, 관계, 관련, 사이, 연관성', 'communication 통신, 소통, 커뮤니케이션, 대화, 교통', 'association 협회, 관련, 연합, 단체, 조합', 'factor 요인, 원인, 요소, 유전자, 인수']",-1,['contactable 연락 가능한']
purchase,"['1. 구매하다', '2. 구입하다', '3. 매수하다', '4. 사다', '5. 인수하다']","['동사', '기본 : purchase', '과거 : purchased', '과거분사 : purchased', '현재분사 : purchasing', '3인칭단수 : purchases', '명사', '기본 : purchase', '복수 : purchases']","['purchase a new car for 5,000 dollars', '새 차를 5,000 달러에 사다', 'I purchased my wife a new coat[＝a new coat for my wife].', '아내에게 새 코트를 사주었다.', 'purchase freedom with blood', '피를 흘려 자유를 얻다', 'purchase favor with flattery', '아첨을 하여 호감을 사다.', 'Fifty cents purchases a city subway ticket.', '시내 지하철 차표는 50센트입니다.', 'purchase an anchor', '닻을 올리다.', 'the date[place] of purchase', '구입일[장소]', 'make a purchase', '물건을 사다.', 'finance[fund] the purchase', '구입 자금을 대다', 'a major purchase', '중요한 구매', 'a wise purchase', '머리를 잘 쓴 구매', 'It is a recent purchase of mine.', '그것은 최근에 내가 산 것이다.', ""live on one's purchase"", '해마다 오른 땅값으로 생계를 잇다', ""buy land at 20 years' purchase"", '20년간의 수익에 해당하는 값으로 토지를 구입하다.', 'get[gain] a purchase on', '…을 꼭 쥐다.']",-1,"['purchase price 구입 가격, 구입가', 'purchase land 토지를 구입하다', 'to make a purchase 구매를 하다', 'purchase order 구입 주문', 'purchase contract 구매계약']","['buy 사다, 구입, 믿다, 얻다, 준비하다', 'pay for 대가를 지불하다, 돈을 내다, 내다, 부담하다, 계산하다', 'procure 조달하다, 입수, 구하다, 도입, 얻다']",-1,"['purchaser 구매자, 사는 사람']"
